tanggal,judul,kategori,link,bulan,tahun
5 Februari 2026,"Akselerasi Reformasi Birokrasi, Unesa Perkuat Implementasi Zona Integritas menuju Predikat WBK",Akademik & Umum,https://unesa.ac.id/akselerasi-reformasi-birokrasi-unesa-perkuat-implementasi-zona-integritas-menuju-predikat-wbk/,2,2026
5 Februari 2026,Satgas PPKS Unesa dan Satgas PPKPT UAJY Sharing Strategi dan Mekanisme Pencegahan dan Penanganan Kekerasan,Akademik & Umum,https://unesa.ac.id/satgas-ppks-unesa-dan-satgas-ppkpt-uajy-sharing-strategi-dan-mekanisme-pencegahan-dan-penanganan-kekerasan/,2,2026
5 Februari 2026,"Boyong Medali ASEAN Para Games, Ken Swagumilang Buktikan Keterbatasan Bukan Penghalang Prestasi Dunia",Prestasi & Penghargaan,https://unesa.ac.id/boyong-medali-asean-para-games-ken-swagumilang-buktikan-keterbatasan-bukan-penghalang-prestasi-dunia/,2,2026
4 Februari 2026,"Perkuat Relevansi Lulusan, Unesa Gandeng 150 Mitra Industri dalam Employer Meeting 2026",Akademik & Umum,https://unesa.ac.id/perkuat-relevansi-lulusan-unesa-gandeng-150-mitra-industri-dalam-employer-meeting-2026/,2,2026
4 Februari 2026,Rektor Cak Hasan Beri Beasiswa dan Dorong Pengurus Ormawa 2026 Tingkatkan Kapasitas dan Gagas Program Berdampak,Kemahasiswaan,https://unesa.ac.id/rektor-cak-hasan-beri-beasiswa-dan-dorong-pengurus-ormawa-2026-tingkatkan-kapasitas-dan-gagas-program-berdampak/,2,2026
4 Februari 2026,"Gelar Visiting Top Professor, Prodi Gizi FIKK Bedah Strategi Nutrisi dan Massa Otot Bersama Pakar Belanda",Pikiran Pakar,https://unesa.ac.id/gelar-visiting-top-professor-prodi-gizi-fikk-bedah-strategi-nutrisi-dan-massa-otot-bersama-pakar-belanda/,2,2026
4 Februari 2026,Siswa SMA Labschool Unesa 1 Surabaya Sabet Emas Ajang Hong Kong International Petanque Open 2026,Prestasi & Penghargaan,https://unesa.ac.id/siswa-sma-labschool-unesa-1-surabaya-sabet-emas-ajang-hong-kong-international-petanque-open-2026/,2,2026
3 Februari 2026,Unesa Jajaki Kerja Sama Penguatan Riset dengan Kumamoto University Jepang,Riset & Inovasi,https://unesa.ac.id/unesa-jajaki-kerja-sama-penguatan-riset-dengan-kumamoto-university-jepang/,2,2026
3 Februari 2026,"Sinergi Unesa dan Bawaslu Perkuat Demokrasi melalui Sentuhan Akademik, dan Rencanakan Program Magang",Akademik & Umum,https://unesa.ac.id/sinergi-unesa-dan-bawaslu-perkuat-demokrasi-melalui-sentuhan-akademik-dan-rencanakan-program-magang/,2,2026
3 Februari 2026,"Akselerasi SDM Unggul, Unesa Gelar Sosialisasi Beasiswa LPDP Tahap 1 Tahun 2026",Kemahasiswaan,https://unesa.ac.id/akselerasi-sdm-unggul-unesa-gelar-sosialisasi-beasiswa-lpdp-tahap-1-tahun-2026/,2,2026
3 Februari 2026,"Perkuat Kemitraan Global Unesa, Dosen PAUD Jalani Staff Mobility di Kazakhstan",Kerjasama & Internasional,https://unesa.ac.id/perkuat-kemitraan-global-unesa-dosen-paud-jalani-staff-mobility-di-kazakhstan/,2,2026
3 Februari 2026,"University of Liverpool Hadir di Unesa, Buka Peluang Studi Lanjut bagi Mahasiswa dan Dosen",Kemahasiswaan,https://unesa.ac.id/university-of-liverpool-hadir-di-unesa-buka-peluang-studi-lanjut-bagi-mahasiswa-dan-dosen/,2,2026
2 Februari 2026,"Mitra Internasional dari Inggris, Australia dan Timor Leste Jajaki Program Unggulan Unesa melalui UNESA DAY",Akademik & Umum,https://unesa.ac.id/mitra-internasional-dari-inggris-australia-dan-timor-leste-jajaki-program-unggulan-unesa-melalui-unesa-day/,2,2026
2 Februari 2026,"Tak Harus Mahal, Guru Besar Unesa Beberkan Cara Pemenuhan Kebutuhan Gizi Keluarga melalui Optimalisasi Bahan Pangan Lokal",Riset & Inovasi,https://unesa.ac.id/tak-harus-mahal-guru-besar-unesa-beberkan-cara-pemenuhan-kebutuhan-gizi-keluarga-melalui-optimalisasi-bahan-pangan-lokal/,2,2026
